0,0
20,0
40,0
60,0
80,0
100,0
120,0
140,0
160,0
180,0
200,0
220,0
240,0
260,0
280,0
300,0
320,0
340,0
360,0
0,9
20,9
40,9
60,9
80,9
100,9
120,9
140,9
160,9
180,9
200,9
220,9
240,9
260,9
280,9
300,9
320,9
340,9
360,9
0,18
20,18
40,18
60,18
80,18
100,18
120,18
140,18
160,18
180,18
200,18
220,18
240,18
260,18
280,18
300,18
320,18
340,18
360,18
0,27
20,27
40,27
60,27
80,27
100,27
120,27
140,27
160,27
180,27
200,27
220,27
240,27
260,27
280,27
300,27
320,27
340,27
360,27
0,36
20,36
40,36
60,36
80,36
100,36
120,36
140,36
160,36
180,36
200,36
220,36
240,36
260,36
280,36
300,36
320,36
340,36
360,36
0,45
20,45
40,45
60,45
80,45
100,45
120,45
140,45
160,45
180,45
200,45
220,45
240,45
260,45
280,45
300,45
320,45
340,45
360,45
